rows=20
cols=20
(6, 18, 8.0)
(12, 1, -13.0)
(14, 16, 16.0)
(5, 13, 7.0)
(0, 5, 2.0)
(10, 12, -11.0)
(13, 11, 15.0)
(1, 9, -2.0)
(18, 19, 20.0)
(4, 8, 6.0)
(8, 2, -9.0)
(17, 14, 19.0)
(0, 4, -1.0)
(16, 9, 18.0)
(15, 16, -16.0)
(6, 13, -7.0)
(7, 18, -8.0)
(14, 11, -15.0)
(0, 0, 1.0)
(9, 12, 11.0)
(19, 19, -20.0)
(1, 10, 3.0)
(18, 14, -19.0)
(4, 3, -5.0)
(17, 9, -18.0)
(3, 19, -4.0)
(16, 4, -17.0)
(11, 17, -12.0)
(2, 14, -3.0)
(12, 6, 14.0)
(3, 3, 5.0)
(9, 7, -10.0)
(11, 1, 13.0)
(15, 4, 17.0)
(10, 17, 12.0)
(5, 8, -6.0)
(8, 7, 10.0)
(13, 6, -14.0)
(7, 2, 9.0)
(2, 15, 4.0)
